주제(카테고리/난이도),학생 수,플레이 수,학급 평균 정답률
일반상식 / 상,1,1,35.0% 보강 필요
과학 / 상,2,2,45.0% 보강 필요
과학 / 중,1,1,60.0%
과학 / 최상,1,1,60.0%
한국사 / 하,3,3,66.7%
과학 / 하,1,1,70.0%
의학 / 중,1,1,70.0%
의학 / 최상,1,1,75.0%
한국사 / 중,1,1,80.0%
일반상식 / 중,1,1,90.0%
일반상식 / 하,1,1,90.0%
의학 / 하,1,1,100.0%
